Original Text,Translation,Paraphrase 1,Paraphrase 2
"Bomb Kills Two US Soldiers, Injures One in Afghanistan Two US soldiers were killed and a third was wounded Wednesday when a bomb exploded as they drove through an area of central Afghanistan where Taliban fighters are said ","""Bomba mata a dos soldados estadounidenses, hiere a uno en Afganistán. Dos soldados estadounidenses fueron asesinados y un tercero resultó herido el miércoles cuando una bomba explotó mientras conducían a través de una zona del centro de Afganistán donde se dice que están los combatientes talibanes.""",1. A bomb detonation led to the death of two US soldiers and left another wounded in a Taliban-infiltrated region of central Afghanistan on Wednesday.,"2. Wednesday's bomb blast in a central Afghanistan area, known for Taliban presence, resulted in the fatality of two US soldiers and injury to another."
"Phishing Feeds Internet Black Markets Phishing is a growing form of online fraud that blends old-fashioned confidence scams with innovations in technological trickery. Today and Friday, washingtonpost.com explores the methods phishers use, how e-businesses are dealing with the problem and what phishing has done to its thousands of victims. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/b&gt;&lt;/font&gt;","Phishing Alimenta los Mercados Negros de Internet. El Phishing es una creciente forma de fraude en línea que combina estafas de confianza tradicionales con innovaciones en engaños tecnológicos. Hoy y el viernes, washingtonpost.com explora los métodos que utilizan los phishers, cómo los negocios electrónicos están lidiando con el problema y qué ha hecho el phishing a sus miles de víctimas. <FONT face=""verdana, MS Sans Serif, arial, helvetica"" size=""-2"" color=""#666666""><B> -washingtonpost.com</B></font>","1) Phishing, a rapidly expanding genre of online fraud that combines traditional scams with modern technological deceit, is the backbone of internet black markets. This combo of trickery is under examination by washingtonpost.com on both today and Friday. The focus will be on the mechanisms employed by phishers, the steps taken by e-businesses to counter these threats, and the aftermath faced by the countless victims of phishing. -washingtonpost.com ","2) Internet black markets are thriving on phishing, which is a sophisticated form of online fraud incorporating conventional swindles and high-tech deceit. An investigation into the intricate workings of phishers, the antidotes implemented by e-businesses, and the outcomes for the many sufferers of phishing is being carried out by washingtonpost.com today and Friday. -washingtonpost.com"
"Bus swept into China river, 3 dead, 41 missing A sudden flood surge on a river in China swept an overcrowded bus full of young students and farmers into a river, killing three people and leaving 41 missing, state media said on Sunday.","Autobús arrastrado a un río en China, 3 muertos, 41 desaparecidos. Un repentino aumento de la inundación en un río en China arrastró un autobús sobrecargado de jóvenes estudiantes y agricultores a un río, matando a tres personas y dejando a 41 desaparecidas, informó la prensa estatal el domingo.","1. A deluge in a Chinese river suddenly swept a bus packed with students and farmers, resulting in three fatalities and 41 people unaccounted for, according to a report by state media on Sunday.",   
"In Brief: Cisco acquires startup BCN Systems (InfoWorld) InfoWorld - Cisco Systems has finalized an agreement to purchase privately held BCN Systems, a provider of networking software design. Under the terms of the agreement, Cisco will pay approximately  #36;34 million in cash for BCN. The price could increase by as much as  #36;122 million if BCN meets certain development and product milestones. BCN's architecture will be incorporated across Cisco's broad routing portfolio and will support Cisco's delivery of next-generation data, voice, and video services over a converged network.","En resumen: Cisco adquiere la startup BCN Systems (InfoWorld) InfoWorld - Cisco Systems ha finalizado un acuerdo para comprar BCN Systems, una empresa privada proveedora de diseño de software de red. Bajo los términos del acuerdo, Cisco pagará aproximadamente #36;34 millones en efectivo por BCN. El precio podría aumentar hasta en #36;122 millones si BCN cumple ciertos hitos de desarrollo y producto. La arquitectura de BCN se incorporará a lo largo del amplio portafolio de enrutamiento de Cisco y apoyará la entrega de los servicios de datos, voz y video de próxima generación de Cisco sobre una red convergente.",Summary: Cisco Systems acquires BCN Systems at a potential price of $156 million subject to development and product milestones (InfoWorld),"InfoWorld - BCN Systems, a private startup specializing in network software design, has been bought by Cisco Systems for an upfront cash payment of $34 million. If certain product and development milestones are met, the cost could escalate by another $122 million. Cisco plans to incorporate BCN's unique architecture into its extensive routing portfolio to improve the delivery of next-generation data, voice, and video services on a converged network."
"Here #39;s a look at Houston #39;s family #39;s companies, lawsuits * Winning Action Investments Inc., real estate investment corporation that filed for bankruptcy in February 2003. Guy Houston signed loan papers as company vice president and was cited with the company by ","Aquí te presentamos una visión de las empresas de la familia Houston, demandas * Winning Action Investments Inc., corporación de inversión inmobiliaria que se declaró en quiebra en febrero de 2003. Guy Houston firmó los documentos de préstamo como vicepresidente de la empresa y fue citado junto con la empresa por","1. Here's an overview of the companies and lawsuits linked to the Houston family, including Winning Action Investments Inc., a real estate investment corporation which declared bankruptcy in February 2003. Guy Houston, in his capacity as company vice president, was involved with the business by signing loan papers and being jointly cited.","2. Winning Action Investments Inc., a real estate investment corporation tied to the Houston family and which went bankrupt in February 2003, is among the companies and lawsuits we're examining. Guy Houston, acting as the company's vice president, was implicated by signing the loan documents and being collectively mentioned with the firm."
"MLB: Angels Take One Game Lead in American West Division In Major League Baseball action Wednesday, the Anaheim Angels took a one-game lead in the American League West Division by beating the Texas Rangers, 8-7.","MLB: Los Angels Toman la Delantera de un Juego en la División Oeste Americana En acción de la Major League Baseball el miércoles, los Anaheim Angels tomaron una ventaja de un juego en la División Oeste de la Liga Americana al vencer a los Texas Rangers, 8-7.","1. During Wednesday's Major League Baseball match, the Anaheim Angels claimed a victory against the Texas Rangers, 8-7, which put them one game ahead in the American League West Division. ","2. The Anaheim Angels secured an 8-7 win over the Texas Rangers on Wednesday in Major League Baseball, thus gaining a one-game lead in the American League West Division."
"Briefly: Credit union beefs up database security roundup Plus: Computer scientists slam e-voting machines...""The Sims 2"" hits 1 million sales...Adobe, Kodak team on photo printing...Cray promotes two execs.","En resumen: La cooperativa de crédito refuerza la seguridad de la base de datos. Además: Científicos informáticos critican las máquinas de votación electrónica...""The Sims 2"" alcanza 1 millón de ventas...Adobe y Kodak se unen para impresión de fotos...Cray promueve a dos ejecutivos.","1. To sum it up: The credit union enhances database security, computer scientists criticize electronic voting machines, ""The Sims 2"" achieves a milestone of 1 million sales, Adobe and Kodak collaborate on a photo printing project, and Cray elevates two executives. ","2. In short: Database security gets an upgrade at the credit union, experts in computer science express disapproval of e-voting machines, ""The Sims 2"" reaches 1 million in sales figures, Adobe joins hands with Kodak for a photo printing venture, and two executives climb the corporate ladder at Cray."
"For an Inventor, IM Opens a Window to a World of Games A California software developer turns instant message windows into a platform for video games.","Para un Inventor, IM Abre una Ventana a un Mundo de Juegos. Un desarrollador de software de California convierte las ventanas de mensajes instantáneos en una plataforma para videojuegos.","1. A California software developer is transforming instant messaging into a gaming platform, opening up a new world of games for inventors.","2. Instant messaging is being converted into a gaming platform by a Californian software developer, presenting a plethora of gaming opportunities to inventors."
Sosa responds to Baker criticism Sammy Sosa has fired back at comments made by manager Dusty Baker prior to Sunday #39;s season ending win over the Atlanta Braves.,"Sosa responde a las críticas de Baker
Sammy Sosa ha respondido a los comentarios hechos por el gerente Dusty Baker antes de la victoria del domingo que marcó el fin de la temporada sobre los Bravos de Atlanta.","1. Sammy Sosa counters Dusty Baker's criticisms, with comments made preceding Sunday's season finale victory against the Atlanta Braves.","2. In response to the remarks made by manager Dusty Baker before Sunday's season-closing triumph over the Atlanta Braves, Sammy Sosa has retorted."
"Two-day ASEAN summit opens in Laos Leaders of 10 South East Asian nations have started a two-day summit in the Laos capital, Vientiane. The Association of South East Asian Nations (ASEAN) meeting will focus on deepening economic integration ","Se inaugura la cumbre de dos días de la ASEAN en Laos. Los líderes de 10 naciones del sudeste asiático han iniciado una cumbre de dos días en la capital de Laos, Vientiane. La reunión de la Asociación de Naciones del Sudeste Asiático (ASEAN) se centrará en profundizar la integración económica.","1. Leaders from ten South East Asian nations have initiated a two-day summit in Vientiane, the capital of Laos, aimed at intensifying economic integration. The conference is part of the Association of South East Asian Nations (ASEAN's) activities.","2. The Association of South East Asian Nations (ASEAN) is conducting a summit in Vientiane, the capital city of Laos, which will span two days and aims on strengthening economic integration. This meeting gathers leaders from 10 South East Asian nations."
"HP Board Pondered Breaking Up the Company  SAN FRANCISCO (Reuters) - The board of Hewlett-Packard Co.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HPQ.N target=/stocks/quickinfo/fullquote""&gt;HPQ.N&lt;/A&gt; discussed breaking up the No. 2 computer maker three  times in the past, yet each time decided to keep it intact,  Chief Executive Carly Fiorina said on Tuesday, defending her  strategy for the company.","La Junta de HP Consideró Dividir la Compañía  SAN FRANCISCO (Reuters) - La junta de Hewlett-Packard Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HPQ.N target=/stocks/quickinfo/fullquote""&gt;HPQ.N&lt;/A&gt; discutió dividir al fabricante de computadoras número 2 tres veces en el pasado, pero cada vez decidió mantenerlo intacto, dijo el martes la Directora Ejecutiva Carly Fiorina, defendiendo su estrategia para la empresa.","1. SAN FRANCISCO (Reuters) - The possibility of splitting up Hewlett-Packard Co. <A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HPQ.N target=/stocks/quickinfo/fullquote""&gt;HPQ.N&lt;/A&gt;, the second largest computer manufacturer, had been deliberated upon thrice by its board in the past, Chief Executive Carly Fiorina reported Tuesday. Each time, however, the decision favored keeping the company whole, as an affirmation of her strategic plans for the organization.","2. SAN FRANCISCO (Reuters) - On Tuesday, Chief Executive Carly Fiorina revealed that there had been three occasions in the past when the board of Hewlett-Packard Co. <A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HPQ.N target=/stocks/quickinfo/fullquote""&gt;HPQ.N&lt;/A&gt;, currently the world's second largest computer producer, had considered a company split. Despite these discussions, the decision was consistently made to preserve the company's unity, serving as a testament to Fiorina's corporate strategy."
"Howard may sweep to victory on wave of apathy It should have been a relaxing stroll in the sunshine for John Howard, a chance to press the flesh of friendly voters in Bennelong, his Sydney seat.","Howard podría barrer hacia la victoria en una ola de apatía. Debería haber sido un paseo relajante bajo el sol para John Howard, una oportunidad para estrechar la carne de los votantes amistosos en Bennelong, su escaño en Sydney.
",1. John Howard might clinch the win riding on indifference. His Sydney seat in Bennelong should have offered him a leisurely walk in the sunlight and an opportunity to mingle with supportive voters.,"2. On the wave of apathy, Howard could possibly seize the victory. What should have been a serene amble under the sun and an occasion to connect with well-disposed voters in his Bennelong, Sydney constituency is what John Howard encountered."
"Factory Orders Dip for First Time in 4 Months Overall, factory orders declined by 0.1 percent in August, following an increase of 1.7 percent in July.","Las órdenes de fábrica bajan por primera vez en 4 meses. En general, las órdenes de fábrica disminuyeron en un 0.1 por ciento en agosto, después de un aumento del 1.7 por ciento en julio.","1. In August, for the first time in 4 months, there was a slight decrease of 0.1 percent in overall factory orders, contrasting the 1.7 percent increase recorded in July.","2. The overall factory orders saw a decrease of 0.1 percent in August, marking their first decline in a span of 4 months, this followed a growth of 1.7 percent in the prior month, July."
Race driver killed in crash Race car driver Tommy Baldwin was killed in a crash at Thompson International Speedway during a Featherlite modified race. ,El piloto de carreras murió en un accidente. El piloto de coches de carreras Tommy Baldwin murió en un accidente en el Speedway Internacional de Thompson durante una carrera de Featherlite modificada.,"1. Tommy Baldwin, a race car driver, tragically lost his life in a crash during a Featherlite modified contest at Thompson International Speedway.","2. During a Featherlite modified race at Thompson International Speedway, race car driver Tommy Baldwin met a fatal crash."
"Veteran Lewis Seizes Slender Lead in Las Vegas  LAS VEGAS, Nevada (Reuters) - PGA Tour veteran JL Lewis  reeled off seven birdies and an eagle to race into a one-shot  lead after the second round of the \$4 million Las Vegas  Invitational Friday.","El veterano Lewis se hace con una delgada ventaja en Las Vegas. LAS VEGAS, Nevada (Reuters) - El veterano de la PGA Tour, JL Lewis, logró siete birdies y un águila para tomar una ventaja de un solo golpe después de la segunda ronda del Invitational de Las Vegas de 4 millones de dólares el viernes.","1) LAS VEGAS, Nevada (Reuters) - On Friday, at the Las Vegas Invitational, JL Lewis, a seasoned pro on the PGA Tour, took a one-shot lead after the second round by clocking in seven birdies and an eagle, boosting him to the top in the $4 million competition.","2) In the Las Vegas Invitational that boasted a $4 million prize, PGA Tour old hand JL Lewis outpaced the competition, surging into a one-shot lead upon the conclusion of the second round, this Friday. His seven birdies and an eagle fueled his ascension."
"Haslem, Wade power Miami Heat TAMPA  Ever since Alonzo Mourning #39;s devastating revelation of kidney illness in September 2000, the Heat has been more than aware of life without a dominant big man.","Haslem, Wade impulsan a Miami Heat TAMPA. Desde la devastadora revelación de la enfermedad renal de Alonzo Mourning en septiembre de 2000, el Heat ha estado más que consciente de la vida sin un hombre grande dominante.","1. Since Alonzo Mourning's shocking disclosure of his kidney disease in September 2000, the Miami Heat, spearheaded by Haslem and Wade, have been cognizant of functioning without a primary big man.",  
"Analysts can #39;t peg Google com September 28, 2004, 9:54 AM PT. There #39;s no doubt the Internet will continue to make its mark in the world of business and technology.","Los analistas no pueden clasificar a Google.com 28 de septiembre de 2004, 9:54 AM PT. No hay duda de que Internet continuará dejando su huella en el mundo de los negocios y la tecnología.","1. As of September 28, 2004, 9:54 AM PT, it's undeniable that the Internet will maintain its influential role in business and technology, even though analysts still can't pinpoint Google.com's role in this evolution.","2. Analysts are unable to set Google.com's precise position on the date of September 28, 2004, 9:54 AM PT. Yet, it's unequivocal that in the spheres of technology and business, the Internet will perpetuate its significance."
" #39;The gaffer has mellowed but his desire to win is still there #39; I was dying to ask. How on earth do you survive 13 full years playing for, arguably, the most demanding manager this country has ever seen?","""El jefe se ha suavizado, pero su deseo de ganar todavía está allí"", estaba deseando preguntar. ¿Cómo diablos sobrevives 13 años completos jugando para, posiblemente, el entrenador más exigente que este país ha visto jamás?","1. ""The boss has become more approachable over time, but his passion for victory remains just as strong,"" I was so curious to ask. How do you possibly endure an entire 13 years working with, potentially, the harshest manager our nation has ever witnessed?","2. ""The chief has softened a bit, yet his craving for success has not faded,"" I was practically bursting with the question. How in the world do you last for 13 long years under, what could be considered, the strictest management the country has ever encountered?"
"UPS to Buy Menlo Worldwide for \$150M United Parcel Service Inc., the world #39;s largest package-delivery company, will buy CNF Inc. #39;s Menlo Worldwide Forwarding business for \$150 million, the companies said Tuesday.","UPS comprará Menlo Worldwide por \$150M United Parcel Service Inc., la compañía de entrega de paquetes más grande del mundo, comprará el negocio de Menlo Worldwide Forwarding de CNF Inc. por \$150 millones, dijeron las compañías el martes.","1) United Parcel Service Inc., the foremost package-delivery organization on the globe, has planned to purchase Menlo Worldwide Forwarding, an enterprise owned by CNF Inc., at a price of \$150 million, as announced by both companies this Tuesday.","2) The most preeminent package-delivery firm in the world, United Parcel Service Inc., is set to acquire CNF Inc.'s business unit, Menlo Worldwide Forwarding, in a deal worth \$150 million, a joint statement from the two corporations confirmed on Tuesday."
"Tax bill modified; Harkin, Grassley disagree A key issue in the \$140 billion bill involves removing Food and Drug Administration regulation from tobacco products. Updates in tax law to help agricultural cooperatives.","Se modificó el proyecto de ley de impuestos; Harkin, Grassley no están de acuerdo. Un tema clave en el proyecto de ley de 140 mil millones de dólares implica eliminar la regulación de la Administración de Alimentos y Medicamentos en los productos de tabaco. Actualizaciones en la ley fiscal para ayudar a las cooperativas agrícolas.","1. Amidst tax bill alterations, Harkin and Grassley find themselves in disagreement, especially over a pivotal matter in the $140 billion legislation that proposes the withdrawal of Food and Drug Administration oversight from tobacco goods. The tax code is also being updated to benefit agricultural cooperatives.",2. A disagreement arises between Harkin and Grassley as modifications are brought about in the tax bill; an issue worth $140 billion directing towards eliminating FDA control on tobacco products predominates. The revised tax provisions also bring aid to agricultural cooperatives.
"North Korea denies defection of generals December 14, 2004  A North Korean Foreign Ministry spokesman has denied an International Herald Tribune report that hundreds of the country #39;s generals defected to China.",Corea del Norte niega la deserción de generales el 14 de diciembre de 2004. Un portavoz del Ministerio de Relaciones Exteriores de Corea del Norte ha negado un informe del International Herald Tribune que señala que cientos de los generales del país desertaron a China.,"1. A spokesperson from North Korea's Foreign Ministry refutes the International Herald Tribune's claim that hundreds of the nation's generals have defected to China, made on December 14, 2004.","2. On December 14, 2004, the International Herald Tribune reported a mass defection of generals from North Korea to China, a claim which has been flatly denied by a North Korean Foreign Ministry spokesperson."
Japanese PM stands firm on hostage demand Japan #39;s prime minister today refused to bend to demands by militants who have taken a Japanese civilian hostage in Iraq and threatened to behead him unless Tokyo withdraws its soldiers.,El primer ministro japonés se mantiene firme ante la demanda de los rehenes. El primer ministro de Japón se negó hoy a ceder ante las exigencias de los militantes que han tomado como rehén a un civil japonés en Irak y amenazaron con decapitarlo a menos que Tokio retire a sus soldados.,"1) Today, the Prime Minister of Japan firmly resisted the demands of Iraqi militants who threatened to decapitate a Japanese civilian hostage unless Tokyo pulls out its troops. ",2) The Japanese Prime Minister today held strong against the stipulations presented by militants who have captured a Japanese civilian in Iraq and menaced to execute him if Tokyo doesn't recall its military personnel.
"The Playoffs/News  amp; Notes: Major League Baseball recalls bad taste &lt;b&gt;...&lt;/b&gt; A day before Boston and New York started the American League Championship Series, Major League Baseball recalled a T-shirt it had sanctioned because it rubbed Red Sox fans the wrong way.","Playoffs/Noticias y Notas: La Major League Baseball recuerda el mal sabor de boca &lt;b&gt;...&lt;/b&gt; Un día antes de que Boston y Nueva York iniciaran la Serie de Campeonato de la Liga Americana, la Major League Baseball retiró una camiseta que había aprobado porque irritó a los aficionados de los Red Sox.","1. A day preceding the start of the American League Championship Series between Boston and New York, Major League Baseball withdrew a previously approved T-shirt which had upset Red Sox fans.",   
"A breed apart As a child, Adam Levesque would sit with his grandfather, watching televised nature documentaries featuring exotic animals in their natural habitats. These days, Levesque creates his own wild kingdoms in a Waltham office park with a few clicks of a computer mouse.","Una raza aparte. Cuando era niño, Adam Levesque se sentaba con su abuelo, viendo documentales de naturaleza en la televisión que presentaban animales exóticos en sus hábitats naturales. Hoy en día, Levesque crea sus propios reinos salvajes en un parque de oficinas en Waltham con solo unos pocos clics del ratón de su computadora.","1. Adam Levesque, as a young child, would share his time with his grandfather, their eyes glued to the television screen, engrossed in nature documentaries showcasing animals in their untamed habitats. Now, in modern times, Levesque designs his personal wildlife sanctuaries at his Waltham office simply by manipulating his computer mouse. ","2. In his younger years, Adam Levesque sought fascination in the exotic animals featured in nature documentaries that he watched with his grandfather. Now, with the power of technology within his Waltham office, he can create his virtual wilderness with a couple of mouse clicks."
"Somewhere between gleam and gloom President Bush has been saying that the US economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn.","En algún lugar entre el brillo y la penumbra, el presidente Bush ha estado diciendo que la economía de los EE.UU ha ""doblado la esquina"". El candidato presidencial demócrata, el senador John F. Kerry, a raíz del pésimo informe de empleo de este mes, bromeó diciendo que era más bien un giro en U.","1. Amidst the blend of brightness and gloom, President Bush insists that the US economy has ""rounded a bend"". However, following this month's dismal jobs report, Democratic presidential contender, Senator John F. Kerry, smartly retorted that it seemed more like a complete U-turn. ","2. President Bush has been asserting that the US economy has ""surpassed a hurdle,"" somewhere within the realm of optimism and despair. On the other hand, in light of a disappointing jobs report this month, Senator John F. Kerry, the Democratic candidate for president, humorously rebutted that it appeared to have taken a U-turn instead."
"Triple crown When Bode Miller sped down the Lake Louise course 14/100ths of a second faster than Hermann Maier last Sunday, it was a race for the record books. Not only had the Franconia, N.H., resident beaten Austria's famous ace and won on a course where he always has had trouble, but he also became the first male ...","Triple corona Cuando Bode Miller bajó a toda velocidad por la pista de Lake Louise 14/100ésimas de segundo más rápido que Hermann Maier el último domingo, fue una carrera para los libros de récords. No solo el residente de Franconia, N.H., había vencido al famoso as de Austria y ganado en una pista donde siempre ha tenido problemas, sino que también se convirtió en el primer hombre...","1. Bode Miller, a resident of Franconia, N.H., made history last Sunday when he outraced Austria's legendary Hermann Maier down the challenging Lake Louise course by 14/100ths of a second. This triumph marked him not only as the first male to achieve this, but also the conqueror of a course that had always posed difficulties for him.","2. Setting a milestone in the record books, Bode Miller from Franconia, N.H., outpaced Austria's renowned Hermann Maier at the infamous Lake Louise course last Sunday by a slim margin of 14/100ths of a second. Not only did he trump a course that had always been troublesome for him, but he also emerged as the premier male to do so."
Hostages Face Death in Iraq  BAGHDAD (Reuters) - Several insurgent groups set deadlines  for killing more than a score of hostages in Iraq -- from a  trio of American and British workers to an entire squad of 18  Iraqi soldiers -- unless their various demands are met.,"Rehenes enfrentan la muerte en Irak BAGDAD (Reuters) - Varios grupos insurgentes establecen plazos para matar a más de una veintena de rehenes en Irak, desde un trío de trabajadores estadounidenses y británicos hasta un escuadrón completo de 18 soldados iraquíes, a menos que se cumplan sus diversas demandas.","1. Numerous rebel factions in Iraq have established ultimatums for the execution of more than twenty hostages, comprising three workers from America and Britain as well as a full team of eighteen Iraqi military personnel, contingent upon whether their specific conditions are fulfilled. ","2. In Iraq, multiple terrorist entities have set time limits for the slaughter of over twenty captives - ranging from three employees of American and British origin to a full troop of eighteen Iraqi soldiers - if their distinct requirements go unmet."
"Industry Hires House's Author of Drug Benefit Representative Billy Tauzin will become president of the Pharmaceutical Research and Manufacturers of America, the chief lobby for brand-name drug companies.","La Industria Contrata al Autor de la Ley de Beneficios de Medidas Farmacéuticas de la Cámara, el Representante Billy Tauzin se convertirá en presidente de la Investigación Farmacéutica y Fabricantes de América, el principal grupo de cabildeo para las empresas de medicamentos de marca.","1. Representative Billy Tauzin, the person responsible for the creation of the Drug Benefit House, will take on the position of president for the Pharmaceutical Research and Manufacturers of America, the major advocacy group for brand-name drug corporations. ","2. The Pharmaceutical Research and Manufacturers of America, the leading lobby for brand-name medical drug companies, is set to welcome Representative Billy Tauzin, the author of the Drug Benefit House, as their new president."
"Francophone summit ends with resolution on Ivory Coast OUAGADOUGOU (AFP) - Leaders from 36 French-speaking countries wrapped up a summit in Burkina Faso, with a call to the protagonists in the Ivory Coast conflict to implement a French-brokered pact to restore peace.","Cumbre francófona concluye con resolución sobre Costa de Marfil OUAGADOUGOU (AFP) - Líderes de 36 países francoparlantes concluyeron una cumbre en Burkina Faso, con un llamado a los protagonistas en el conflicto de Costa de Marfil para implementar un pacto negociado por Francia para restaurar la paz.","1. The summit involving leaders from 36 Francophone nations conducted in Burkina Faso concluded with a decided resolution concerning the Ivory Coast conflict, urging the involved parties to execute a French-orchestrated peace agreement.",2. A convention involving leaders of 36 French-speaking countries in Burkina Faso finished with an appeal to the parties involved in the Clash of the Ivory Coast to put into action a peace agreement mediated by France.
"Explorer Again In The News For Wrong Reasons Microsoft #39;s flagship Internet Explorer has once again come under the spotlight, albeit for all the wrong reasons. Two more vulnerabilities were uncovered in the widely used Web browser version 6, according to security firm Secunia.","El explorador vuelve a estar en las noticias por las razones equivocadas. La insignia de Microsoft, Internet Explorer, ha vuelto a estar bajo el foco de atención, aunque por todas las razones equivocadas. Según la firma de seguridad Secunia, se descubrieron dos vulnerabilidades más en la versión 6 del navegador web ampliamente utilizado.","1. Once more, Microsoft's primary Internet Explorer is attracting negative media attention. Two additional security flaws in the popular Web browser version 6 have been discovered, says security company Secunia.","2. Microsoft's Internet Explorer has yet again found itself in a controversy, but unfortunately for the wrong reasons. Security company, Secunia, has reported the discovery of two new vulnerabilities in its widely-used Web browser, version 6."
New faces helps Lakers sink Suns LAS VEGAS - Brian Grant had 22 points and 11 rebounds to lead the Los Angeles Lakers over the Phoenix Suns 111-103 in a preseason game Sunday night.,Las nuevas incorporaciones ayudan a los Lakers a hundir a los Suns LAS VEGAS - Brian Grant anotó 22 puntos y logró 11 rebotes para liderar a los Los Angeles Lakers en su victoria sobre los Phoenix Suns por 111-103 en un partido de pretemporada el domingo por la noche.,"1. In a preseason clash on Sunday, Brian Grant's impressive tally of 22 points and 11 rebounds gave the Los Angeles Lakers a 111-103 victory over the Phoenix Suns, with new recruits proving pivotal in the Lakers' success.","2. The recent additions to the Lakers squad made an impact in LA's 111-103 win over the Phoenix Suns in a preseason encounter held in Las Vegas, where Brian Grant posted 22 points and 11 rebounds, leading the charge for the Lakers on Sunday night."
HP tells Sun to get its facts straight Sun execs say they're telling it like it is: HP's Unix offering is on its last legs. HP says they're flat-out wrong.,HP le dice a Sun que aclare sus datos. Los ejecutivos de Sun dicen que están diciendo las cosas tal como son: la oferta Unix de HP está en sus últimos días. HP dice que están completamente equivocados.,"1. HP claims that Sun needs to check their information accurately. Sun executives insist that they are presenting the situation as it is, proclaiming HP's Unix solution is nearing its end. However, HP strongly asserts that Sun's claims are completely incorrect.","2. HP denies Sun's assertion that their Unix product is failing, advising them to verify their information. Sun executives, on the other hand, maintain that they are being candid about the situation. HP strongly refutes their stance."
"Mac  #39;Widget #39; App Set to Make Windows Debut As one developer prepares to move his application from Mac to Windows, others reaffirm their commitment to the platformdespite competing directly with Apple Computer Inc.","La aplicación 'Widget' de Mac está lista para hacer su debut en Windows. Mientras un desarrollador se prepara para mover su aplicación de Mac a Windows, otros reafirman su compromiso con la plataforma a pesar de competir directamente con Apple Computer Inc.","1. As a developer is readying to transition his 'Widget' App from Mac to Windows, other developers are reaffirming their dedication to the platform, even though they compete directly with Apple Computer Inc.",   
"Canada Hopes New Beef Rules Will Win Over Japan (Reuters) Reuters - Canada has positioned itself ahead of the\United States to regain share in the lucrative Japanese beef\market, thanks to strict new rules aimed at preventing mad cow\disease, Agriculture Minister Andy Mitchell said on Wednesday.","Canadá espera que nuevas normas sobre la carne de res conquisten a Japón (Reuters) Reuters - Canadá se ha posicionado por delante de los Estados Unidos para recuperar su cuota en el lucrativo mercado de carne de res japonesa, gracias a las estrictas nuevas normas destinadas a prevenir la enfermedad de las vacas locas, dijo el ministro de Agricultura, Andy Mitchell, el miércoles.","1. (Reuters) - According to Agriculture Minister Andy Mitchell's statement on Wednesday, Canada is set to outpace the United States in securing a larger share of the profitable Japanese beef market, due to stringent new regulations designed to eliminate mad cow disease.","2. (Reuters) - Andy Mitchell, the Agriculture Minister, announced on Wednesday that Canada is on track to outdo the United States in the flourishing Japanese beef market, by implementing rigorous new measures to battle mad cow disease."
"Today's top 25 games Matchup Comment 1. USC (5-0) vs. No. 15 Arizona St. (5-0) Trojans' Leinart has thrown for 1,187 yards and 10 TDs.","Comentario del enfrentamiento de los 25 mejores juegos de hoy: 1. USC (5-0) vs. No. 15 Arizona St. (5-0) Leinart de los Trojans ha lanzado para 1,187 yardas y 10 TDs.","1. Today's 25 leading games include a matchup featuring USC (5-0) against No. 15 Arizona St. (5-0) where Trojans' Leinart has achieved a throwing distance of 1,187 yards and 10 touchdowns.",  
"Blair Puts Security at Heart of Pre-Election Plans  LONDON (Reuters) - Britain's Tony Blair will spell out this  week his legislative plans for the next session of parliament  -- tantamount to an election manifesto, with the prime minister  expected to go to the polls in May next year.","Blair Pone la Seguridad en el Corazón de los Planes Pre-electorales LONDRES (Reuters) - El británico Tony Blair explicará esta semana sus planes legislativos para la próxima sesión del parlamento, lo que equivale a un manifiesto electoral, con el primer ministro esperado a ir a las urnas en mayo del próximo año.","1. LONDON (Reuters) - Tony Blair of Britain is set to detail, within the week, his proposed legislation for the upcoming parliamentary session. This essentially acts as an election manifesto, as it is anticipated that the Prime Minister will be heading for polls in May next year, with national security being his principal agenda.","2. LONDON (Reuters) - This week, Britain's prime minister, Tony Blair, is preparing to announce his legislative strategy for the forthcoming parliamentary period. This strategy is virtually an election manifesto, with a strong focus on national security, in anticipation of the general elections expected to be held in May of the following year."
